Date,Open,High,Low,Close,Adj Close,Volume
27/03/2023,70.370003,71.839996,70.239998,71.480003,66.188957,2052688
28/03/2023,72.510002,72.769997,71.739998,71.889999,66.568604,1355205
29/03/2023,70.080002,70.82,69.830002,70.360001,65.151855,3853734
30/03/2023,70.980003,71.190002,70.379997,70.910004,65.661148,2582982
31/03/2023,71.169998,71.239998,70.32,70.779999,65.540771,3241795
03/04/2023,70.809998,70.93,70.050003,70.410004,65.198158,3464723
04/04/2023,70.690002,71.239998,70.360001,70.440002,65.225937,2396840
05/04/2023,70.690002,70.830002,68.230003,68.43,63.364719,3362207
06/04/2023,68.470001,68.550003,67.400002,67.82,62.799873,2319896
11/04/2023,68.699997,69.580002,68.419998,68.879997,63.781406,2427777
12/04/2023,68.989998,70.279999,68.900002,69.339996,64.207359,1983591
13/04/2023,69.400002,70.18,69.129997,69.790001,64.624054,1779787
14/04/2023,69.959999,70.800003,69.790001,70.410004,65.198158,2400954
17/04/2023,70.830002,70.910004,69.129997,69.25,64.124023,2327453
18/04/2023,69.559998,70.25,69.419998,70.169998,64.975922,2710343
19/04/2023,70.129997,70.610001,69.559998,70.610001,65.383354,2085092
20/04/2023,70.300003,70.300003,67.949997,68.230003,63.179527,4028108
21/04/2023,69.599998,70.190002,68.309998,69.209999,64.086983,4229716
24/04/2023,69.480003,70.150002,69.099998,69.889999,64.716644,1951192
25/04/2023,69.889999,70.150002,69.379997,69.760002,64.596275,2010841
26/04/2023,69.75,70.150002,69.099998,70.059998,64.874062,2143895
27/04/2023,70.25,71.059998,69.660004,70.059998,64.874062,2705371
28/04/2023,70.919998,71.309998,68.349998,70.580002,65.355576,4484728
02/05/2023,71.199997,71.550003,69.559998,69.559998,64.411072,3619970
03/05/2023,70,70.410004,68.93,70.25,65.050003,4057074
04/05/2023,66.5,66.639999,64.510002,65.059998,65.059998,4895234
05/05/2023,65.150002,66.690002,64.989998,66.68,66.68,3347560
08/05/2023,66.989998,67.370003,66.519997,66.68,66.68,2022023
09/05/2023,66.860001,67.379997,66.580002,67.150002,67.150002,2778602
10/05/2023,67.589996,67.949997,66.839996,67.660004,67.660004,2685946
11/05/2023,67.800003,68.209999,67.260002,67.769997,67.769997,2752091
12/05/2023,68.169998,68.300003,67.699997,67.860001,67.860001,2180549
15/05/2023,68,68.339996,67.769997,68,68,1655858
16/05/2023,67.690002,67.760002,67,67.400002,67.400002,2505551
17/05/2023,67.25,68.449997,67.150002,68.379997,68.379997,2414124
18/05/2023,68.900002,70.690002,68.809998,70.5,70.5,3489030
19/05/2023,70.75,71.790001,70.669998,71.18,71.18,4060785
22/05/2023,71.220001,71.599998,70.940002,71.400002,71.400002,1878847
23/05/2023,71.300003,71.480003,70.959999,71.260002,71.260002,1754573
24/05/2023,70.75,70.900002,69.580002,69.919998,69.919998,2779971
25/05/2023,70.059998,70.660004,69.489998,70.25,70.25,1966352
26/05/2023,70.699997,71.440002,70.160004,71.440002,71.440002,2199584
29/05/2023,71.5,72.080002,70.959999,71.160004,71.160004,1509671
30/05/2023,71.07,71.980003,70.900002,71.199997,71.199997,1836543
31/05/2023,70.349998,71,69.480003,69.769997,69.769997,9349162
01/06/2023,70.309998,70.779999,69.93,70.559998,70.559998,1760173
02/06/2023,71.25,72.419998,71.010002,72.239998,72.239998,3128986
05/06/2023,72.300003,72.400002,71.650002,72.040001,72.040001,1675542
06/06/2023,71.970001,72.239998,71.5,72.029999,72.029999,1293109
07/06/2023,72.089996,72.57,71.519997,72.470001,72.470001,2140621
08/06/2023,72.480003,73.760002,72.419998,73,73,2603334
09/06/2023,73.07,73.410004,72.599998,72.599998,72.599998,1472053
12/06/2023,73,73.650002,72.93,73.599998,73.599998,1922110
13/06/2023,73.989998,74.379997,72.5,74.379997,74.379997,2562255
14/06/2023,74.489998,75.849998,74.410004,75.349998,75.349998,3412044
15/06/2023,75.160004,75.220001,74.550003,75.18,75.18,2180019
16/06/2023,75.129997,76.099998,74.830002,76.099998,76.099998,9064187
19/06/2023,75.629997,75.93,75.190002,75.540001,75.540001,1454192
20/06/2023,75.190002,75.330002,74.239998,75.050003,75.050003,1844673
21/06/2023,75.309998,75.589996,73.980003,74.050003,74.050003,2441517
22/06/2023,72.940002,72.970001,71.949997,72.349998,72.349998,2615289
23/06/2023,72.610001,72.610001,71.32,72.029999,72.029999,2021890
26/06/2023,72.239998,72.309998,70.580002,71.980003,71.980003,2108434
27/06/2023,72.18,72.379997,71.269997,71.830002,71.830002,2047053
28/06/2023,72.279999,72.760002,71.860001,72.540001,72.540001,1666174
29/06/2023,72.900002,73.440002,72.730003,72.980003,72.980003,1359574
30/06/2023,73.5,73.919998,72.980003,73.669998,73.669998,2983542
03/07/2023,73.949997,74.470001,73.389999,73.620003,73.620003,1667671
04/07/2023,74,74,71.889999,72.75,72.75,1704565
05/07/2023,72.199997,73.599998,71.949997,73.57,73.57,2170925
06/07/2023,73.290001,73.330002,71.029999,71.419998,71.419998,2696415
07/07/2023,71.349998,71.949997,70.879997,71.949997,71.949997,2193616
10/07/2023,71.860001,72.43,71.059998,71.910004,71.910004,1165077
11/07/2023,72.290001,72.419998,71.449997,72.379997,72.379997,1577401
12/07/2023,72.540001,72.739998,71.940002,72.610001,72.610001,2075037
13/07/2023,72.440002,73.050003,71.940002,72.800003,72.800003,2193914
14/07/2023,72.68,72.739998,72.220001,72.43,72.43,1403461
17/07/2023,72.029999,72.589996,71.839996,72.519997,72.519997,1318088
18/07/2023,72.559998,72.900002,71.900002,72.470001,72.470001,1476416
19/07/2023,72.690002,72.790001,71.379997,71.889999,71.889999,1739005
20/07/2023,71.5,71.839996,71.269997,71.559998,71.559998,1984640
21/07/2023,70.559998,71.720001,70.449997,71.199997,71.199997,2682292
24/07/2023,71.099998,71.489998,70.690002,71.400002,71.400002,1834338
25/07/2023,71.900002,71.900002,71.010002,71.220001,71.220001,1363722
26/07/2023,70.800003,71.059998,69.120003,69.959999,69.959999,3825392
27/07/2023,69.910004,72.959999,68.769997,72.720001,72.720001,4881783
28/07/2023,72.980003,73.559998,71.779999,73.559998,73.559998,2522824
31/07/2023,73.599998,73.699997,72.550003,72.639999,72.639999,1939953
01/08/2023,72.790001,72.839996,70.660004,70.919998,70.919998,3075871
02/08/2023,70.040001,71.25,69.660004,71.050003,71.050003,1997851
03/08/2023,70.5,71.339996,70.07,71.160004,71.160004,2051658
04/08/2023,71.5,71.779999,70.860001,71.5,71.5,1571767
07/08/2023,71.18,71.68,70.709999,71.400002,71.400002,1545919
08/08/2023,71.040001,71.709999,69.580002,70.279999,70.279999,2394838
09/08/2023,70.019997,70.629997,69.5,69.5,69.5,1733233
10/08/2023,70.07,70.739998,69.919998,70.330002,70.330002,1903057
11/08/2023,69.989998,70.110001,69.110001,69.110001,69.110001,2450747
14/08/2023,68.949997,69.269997,68.559998,68.839996,68.839996,1957208
15/08/2023,68.879997,68.970001,68.089996,68.129997,68.129997,1639229
16/08/2023,68,68.949997,67.839996,68.279999,68.279999,1558031
17/08/2023,68.110001,68.160004,67.32,67.519997,67.519997,1978472
18/08/2023,67.089996,67.150002,66.389999,67.019997,67.019997,2654962
21/08/2023,66.849998,67.830002,66.769997,67.540001,67.540001,1734287
22/08/2023,68,68.260002,67.610001,67.790001,67.790001,1279950
23/08/2023,68,68.309998,67.220001,67.540001,67.540001,1797299
24/08/2023,68.099998,68.489998,66.879997,66.989998,66.989998,1921427
25/08/2023,66.809998,67.32,66.610001,67,67,1411722
28/08/2023,67.599998,67.739998,66.610001,67.43,67.43,1847514
29/08/2023,67.510002,67.93,67.239998,67.830002,67.830002,2263590
30/08/2023,68.190002,68.220001,67.300003,67.510002,67.510002,1981494
31/08/2023,67.599998,67.989998,67.309998,67.540001,67.540001,7356061
01/09/2023,67.739998,67.800003,65.57,65.860001,65.860001,3407902
04/09/2023,66.019997,66.949997,66.010002,66.5,66.5,1721615
05/09/2023,66.199997,66.919998,65.910004,66.910004,66.910004,1915375
06/09/2023,66.550003,66.919998,66.160004,66.239998,66.239998,1868524
07/09/2023,66.040001,66.449997,65.300003,65.300003,65.300003,2146909
08/09/2023,65.449997,65.949997,64.68,65.830002,65.830002,2258116
11/09/2023,66.239998,66.610001,65.849998,66.230003,66.230003,2417449
12/09/2023,66.660004,67.389999,65.900002,66.910004,66.910004,2676363
13/09/2023,66.809998,69.5,66.57,66.849998,66.849998,3529751
14/09/2023,66.879997,66.879997,65.529999,66.459999,66.459999,3030009
15/09/2023,67.269997,67.889999,66.739998,67.209999,67.209999,4884518
18/09/2023,67.150002,67.330002,66.160004,66.440002,66.440002,2471988
19/09/2023,66.440002,67.330002,66.349998,66.839996,66.839996,1749962
20/09/2023,67.099998,68.550003,67.089996,68.209999,68.209999,2661750
21/09/2023,67.599998,67.970001,66.879997,67.43,67.43,1703195
22/09/2023,67.099998,67.440002,66.610001,67.330002,67.330002,2017943
25/09/2023,66.980003,67.269997,65.870003,66.379997,66.379997,2525595
26/09/2023,66.360001,66.360001,65.150002,65.459999,65.459999,2379936
27/09/2023,65.32,66.220001,65.129997,65.260002,65.260002,1770969
28/09/2023,65.480003,66.209999,64.779999,65.889999,65.889999,2121972
29/09/2023,66.019997,66.330002,65.620003,65.889999,65.889999,2242431
02/10/2023,66.5,66.529999,65.139999,65.610001,65.610001,1800099
03/10/2023,65.410004,65.809998,64.900002,64.93,64.93,1708507
04/10/2023,64.519997,65.199997,63.52,64.93,64.93,2371506
05/10/2023,64.900002,65.040001,64.290001,64.419998,64.419998,1629229
06/10/2023,64.419998,64.839996,62.740002,63.849998,63.849998,3411439
09/10/2023,63.48,63.68,62.830002,63.450001,63.450001,1704444
10/10/2023,63.93,65.010002,63.880001,64.610001,64.610001,2336447
11/10/2023,64.370003,65.089996,63.889999,64.849998,64.849998,2216892
12/10/2023,65.349998,65.629997,64.879997,65.190002,65.190002,1425955
13/10/2023,65.139999,65.43,64.260002,64.32,64.32,2178624
16/10/2023,64.370003,64.849998,63.709999,64.699997,64.699997,1684499
17/10/2023,64.459999,64.879997,63.990002,64.870003,64.870003,1555144
18/10/2023,65,65.290001,64.18,64.18,64.18,1671117
19/10/2023,63.459999,63.810001,62.580002,63.450001,63.450001,2859429
20/10/2023,62.959999,63.040001,61.759998,62.009998,62.009998,4497505
23/10/2023,62.200001,62.200001,60.75,61.700001,61.700001,3481693
24/10/2023,61.459999,61.779999,61.099998,61.529999,61.529999,2104956
25/10/2023,61.700001,61.810001,60.759998,61.380001,61.380001,2615103
26/10/2023,58.529999,58.75,57.110001,57.84,57.84,8028344
27/10/2023,57.049999,57.869999,56.029999,56.209999,56.209999,5563262
30/10/2023,56.009998,56.43,55.27,55.580002,55.580002,3801648
31/10/2023,55.5,55.869999,55.080002,55.43,55.43,4005904
01/11/2023,55.860001,56.540001,55.34,55.970001,55.970001,3838016
02/11/2023,56.849998,57.689999,56.450001,57.52,57.52,3882307
03/11/2023,58.209999,58.490002,57.880001,57.900002,57.900002,4028205
06/11/2023,58.299999,58.400002,57.419998,57.529999,57.529999,2340378
07/11/2023,57.18,57.59,56.68,56.869999,56.869999,2498745
08/11/2023,56.580002,57.810001,56.389999,57.450001,57.450001,2257548
09/11/2023,57.540001,57.919998,57.189999,57.290001,57.290001,2046433
10/11/2023,56.75,56.860001,56.240002,56.490002,56.490002,2751051
13/11/2023,56.860001,57.029999,56.209999,56.599998,56.599998,2480912
14/11/2023,57.029999,58.09,56.470001,57.990002,57.990002,3412347
15/11/2023,58.290001,58.790001,58.099998,58.689999,58.689999,2511199
16/11/2023,58.330002,58.799999,57.889999,57.950001,57.950001,2201153
17/11/2023,58.099998,58.759998,57.880001,58.599998,58.599998,2603266
20/11/2023,58.990002,59.080002,58.459999,58.93,58.93,2028002
21/11/2023,58.759998,59.110001,58.139999,58.16,58.16,2239459
22/11/2023,58.450001,58.599998,58.099998,58.279999,58.279999,1687437
23/11/2023,58.400002,58.5,58.130001,58.240002,58.240002,1324102
24/11/2023,58,58.639999,57.619999,58.560001,58.560001,2059372
27/11/2023,58.5,58.650002,58.049999,58.360001,58.360001,1800473
28/11/2023,58,58,57.59,57.959999,57.959999,2082850
29/11/2023,58,59.540001,57.970001,59.290001,59.290001,3050584
30/11/2023,59.580002,59.779999,58.990002,59.580002,59.580002,3589967
01/12/2023,59.669998,60.16,59.459999,60.139999,60.139999,1957079
04/12/2023,60.099998,60.759998,59.82,60.52,60.52,2116842
05/12/2023,60.299999,61.68,60.220001,61.450001,61.450001,3039437
06/12/2023,61.700001,62.98,61.43,62.369999,62.369999,2600586
07/12/2023,62.080002,62.560001,61.959999,62.34,62.34,2073491
08/12/2023,62.439999,63.110001,62.110001,62.869999,62.869999,2934602
11/12/2023,62.959999,63.25,62.470001,63.049999,63.049999,2199996
12/12/2023,63.27,63.610001,62.720001,62.720001,62.720001,2164014
13/12/2023,61.939999,62.610001,61.669998,61.740002,61.740002,2621757
14/12/2023,63.400002,64.190002,63.049999,63.5,63.5,4322932
15/12/2023,64.010002,65.32,63.970001,64.370003,64.370003,6512480
18/12/2023,63.73,63.810001,63.290001,63.540001,63.540001,2444623
19/12/2023,63.25,63.66,63.150002,63.209999,63.209999,1758153
20/12/2023,63.369999,63.919998,62.91,63.139999,63.139999,1880142
21/12/2023,62.400002,62.779999,62.080002,62.709999,62.709999,1594417
22/12/2023,62.610001,63.25,62.529999,62.849998,62.849998,1656994
27/12/2023,62.669998,63.02,62.380001,62.669998,62.669998,1234302
28/12/2023,62.790001,62.830002,62.220001,62.259998,62.259998,1318193
29/12/2023,62.299999,62.759998,62.259998,62.549999,62.549999,748677
02/01/2024,62.75,63.779999,62.259998,63.330002,63.330002,1724329
03/01/2024,63.380001,63.610001,61.889999,62.200001,62.200001,2310818
04/01/2024,62.419998,62.860001,62.240002,62.32,62.32,2207718
05/01/2024,62,63.299999,61.509998,62.549999,62.549999,2345812
08/01/2024,62.5,63.610001,62.139999,63.560001,63.560001,1681104
09/01/2024,63.549999,63.84,63.23,63.799999,63.799999,2111832
10/01/2024,63.740002,64.059998,62.959999,62.959999,62.959999,2266784
11/01/2024,63.52,64.029999,62.220001,62.220001,62.220001,2415628
12/01/2024,62.419998,62.529999,61.18,61.360001,61.360001,2974285
15/01/2024,61.220001,61.669998,60.700001,61.419998,61.419998,1911584
16/01/2024,61.18,61.419998,60.709999,61.279999,61.279999,2225382
17/01/2024,60.25,60.509998,59.209999,59.32,59.32,3506283
18/01/2024,59.119999,60.330002,58.84,59.84,59.84,2416672
19/01/2024,60.099998,60.150002,59.02,59.110001,59.110001,3089578
22/01/2024,59.41,60.049999,59.139999,59.290001,59.290001,2169356
23/01/2024,59.439999,60.919998,59.330002,60.220001,60.220001,2735630
24/01/2024,60.599998,61.029999,60.09,60.73,60.73,1859667
25/01/2024,60.599998,60.650002,59.400002,59.75,59.75,2851011
26/01/2024,59.759998,61.299999,59.759998,61.259998,61.259998,3214963
29/01/2024,61.34,61.880001,60.759998,61.880001,61.880001,2159220
30/01/2024,62.16,62.810001,61.540001,62.259998,62.259998,2006522
31/01/2024,62.139999,63.02,62.040001,62.849998,62.849998,3123530
01/02/2024,62.869999,63.549999,62.75,63.080002,63.080002,2449579
02/02/2024,64,65.129997,63.700001,64.339996,64.339996,3770724
05/02/2024,64.550003,64.610001,63.150002,63.18,63.18,2387817
06/02/2024,63.75,64.139999,63.330002,63.959999,63.959999,1844561
07/02/2024,64.139999,65.160004,63.98,63.98,63.98,2028234
08/02/2024,64.349998,65.269997,63.939999,65.040001,65.040001,1836118
09/02/2024,65.099998,65.459999,64.599998,64.919998,64.919998,1751091
12/02/2024,65.239998,66.010002,65.169998,65.650002,65.650002,1431014
13/02/2024,65.690002,66.389999,65.269997,65.440002,65.440002,2324829
14/02/2024,65.120003,65.790001,64.980003,65.529999,65.529999,1247134
15/02/2024,66.150002,67.169998,66.099998,66.849998,66.849998,2872026
16/02/2024,67.360001,68.029999,67.330002,67.379997,67.379997,2853188
19/02/2024,67.370003,67.690002,67.169998,67.629997,67.629997,1774036
20/02/2024,67.309998,67.43,66.449997,66.779999,66.779999,2526297
21/02/2024,67.57,68.660004,67.370003,68.07,68.07,3552731
22/02/2024,70.949997,72.239998,70.360001,71.269997,71.269997,7352263
23/02/2024,71.68,72.919998,71.360001,71.68,71.68,4349780
26/02/2024,71.360001,71.900002,70.769997,71.360001,71.360001,2730537
27/02/2024,71.300003,72.519997,71.150002,72.160004,72.160004,2467850
28/02/2024,72.849998,73.489998,72.389999,73.400002,73.400002,3369399
29/02/2024,73.529999,74.269997,73.220001,73.639999,73.639999,4241706
01/03/2024,74.169998,75.07,73.870003,74.089996,74.089996,4126828
04/03/2024,73.82,74.25,73.529999,73.739998,73.739998,1924498
05/03/2024,73.800003,73.800003,72.669998,73.760002,73.760002,1782226
06/03/2024,73.68,73.839996,72.790001,72.849998,72.849998,2513190
07/03/2024,72.25,72.550003,71.059998,72.400002,72.400002,2665450
08/03/2024,72.400002,73.010002,72.040001,72.550003,72.550003,2024985
11/03/2024,72.379997,72.5,72.010002,72.400002,72.400002,1915139
12/03/2024,72.489998,73.489998,72.18,73.32,73.32,3658094
13/03/2024,72.989998,73.129997,72.239998,72.489998,72.489998,2930477
14/03/2024,72.5,73.449997,72.18,72.540001,72.540001,3021335
15/03/2024,72.879997,73.980003,72.690002,73.099998,73.099998,7718621
18/03/2024,73.379997,73.940002,73.110001,73.360001,73.360001,1790934
19/03/2024,73.639999,74.230003,73.290001,74.150002,74.150002,2524749
20/03/2024,74.050003,74.050003,73.419998,73.800003,73.800003,1631620
21/03/2024,74.470001,74.519997,73.040001,73.339996,73.339996,2452128
22/03/2024,73.339996,73.639999,72.959999,73.5,73.5,1735721
25/03/2024,73.580002,73.769997,73.349998,73.720001,73.720001,1377705
26/03/2024,73.769997,73.959999,73.410004,73.82,73.82,470409
